unitid,institution name,year,EF2013D.Student-to-faculty ratio,"DRVIC2013.Tuition and fees, 2013-14",HD2013.Institution size category,HD2013.FIPS state code,HD2013.Geographic region,HD2013.Level of institution,HD2013.Control of institution,HD2013.Degree-granting status,HD2013.Historically Black College or University,HD2013.Tribal college,HD2013.Degree of urbanization (Urban-centric locale),HD2013.Institutional category,HD2013.Carnegie Classification 2010: Basic,HD2013.Carnegie Classification 2010: Undergraduate Instructional Program,HD2013.Carnegie Classification 2010: Graduate Instructional Program,HD2013.Carnegie Classification 2010: Undergraduate Profile,HD2013.Carnegie Classification 2010: Enrollment Profile,HD2013.Carnegie Classification 2010: Size and Setting,HD2013.Land Grant Institution,HD2013.Carnegie Classification 2000,HD2013.Data Feedback Report comparison group category created by NCES
128744,University of Bridgeport,2013,16,29090,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate with arts & sciences (other dominant fields),"Medium full-time four-year, inclusive",Majority graduate/professional,"Medium four-year, primarily residential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Masters Colleges and Universities (larger programs), private not-for-profit /4 of 7"
128771,Central Connecticut State University,2013,16,8706,"10,000 - 19,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, selective, higher transfer-in",High undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /3 of  5"
128902,Connecticut College,2013,9,46085,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Arts & sciences focus, some graduate coexistence",Single postbaccalaureate (other field),"Full-time four-year, more selective, lower transfer-in",Very high undergraduate,"Small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /2 of 7"
129020,University of Connecticut,2013,16,12022,"20,000 and above",Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences plus professions, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, lower transfer-in",Majority undergraduate,"Large four-year, highly residential",Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /2 of 2"
129154,Goodwin College,2013,10,19400,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, not primarily baccalaureate or above",Associate's--Private Not-for-profit,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,{Item not available},"Private not-for-profit, 4-year, Carnegie Classification of Associates"
129215,Eastern Connecticut State University,2013,16,9376,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,Degree-granting,No,No,Town: Fringe,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (smaller programs),"Arts & sciences plus professions, some graduate coexistence",Postbaccalaureate professional (education dominant),"Full-time four-year, selective, higher transfer-in",Very high undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (smaller programs), public"
129242,Fairfield University,2013,11,42920,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, more selective, lower transfer-in",High undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), private not-for-profit /3 of 7"
129367,Capital Community College,2013,13,3786,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Single Campus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, city locale"
129525,University of Hartford,2013,12,33358,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence",Single doctoral (other field),"Full-time four-year, selective, lower transfer-in",High undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Masters Colleges and Universities (larger programs), private not-for-profit /2 of 7"
129534,Holy Apostles College and Seminary,2013,4,10470,"Under 1,000",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above","Theological seminaries, Bible colleges, and other faith-related institutions","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Majority graduate/professional,"Not applicable, special focus institution",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Theological seminaries/Bible colleges/other faith-related institutions, highest level - postbaccalaureate, undergraduate degrees/certificates offered"
129543,Housatonic Community College,2013,18,3786,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Medium,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, city locale"
129686,Lyme Academy College of Fine Arts,2013,4,29616,"Under 1,000",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Midsize,"Degree-granting, primarily baccalaureate or above","Schools of art, music, and design","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Very high undergraduate,"Not applicable, special focus institution",Not a Land Grant Institution,"Schools of art, music, and design","Schools of art, music, and design, Public or private not-for-profit /2 of 2"
129695,Manchester Community College,2013,19,3786,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, associate's and certificates",Associate's--Public Suburban-serving Single Campus,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, suburban locale"
129729,Naugatuck Valley Community College,2013,21,3806,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Midsize,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, suburban locale"
129756,Middlesex Community College,2013,16,3786,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,"Degree-granting, associate's and certificates",Associate's--Public Suburban-serving Single Campus,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, city locale"
129774,Mitchell College,2013,16,29458,"Under 1,000",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions plus arts & sciences, no graduate coexistence",Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Very small four-year, highly residential",Not a Land Grant Institution,Associates Colleges,"Baccalaureate Colleges--Diverse Fields, private not-for-profit /6 of 8"
129808,Three Rivers Community College,2013,18,4212,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Medium,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, city locale"
129941,University of New Haven,2013,16,33740,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions focus, some graduate coexistence",Postbaccalaureate with arts & sciences (other dominant fields),"Full-time four-year, selective, lower transfer-in",Majority undergraduate,"Medium four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), private not-for-profit /2 of 7"
130004,Norwalk Community College,2013,18,3786,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, city locale"
130040,Northwestern Connecticut Community College,2013,15,3786,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Fringe,"Degree-granting, associate's and certificates",Associate's--Public Suburban-serving Single Campus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, small size, eastern states"
130110,Paier College of Art Inc,2013,5,12960,"Under 1,000",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above","Schools of art, music, and design","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Exclusively undergraduate four-year,"Not applicable, special focus institution",Not a Land Grant Institution,"Schools of art, music, and design","Schools of art, music, and design, private for-profit /2 of 2"
130183,Post University,2013,23,20925,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private for-profit,Degree-granting,No,No,Suburb: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions focus, no graduate coexistence",Postbaccalaureate professional (other dominant fields),Higher part-time four-year,High undergraduate,"Small four-year, primarily residential",Not a Land Grant Institution,Baccalaureate Colleges--General,"Baccalaureate Colleges--Arts & Sciences or Diverse Fields, private for-profit /1 of 2"
130217,Quinebaug Valley Community College,2013,18,3786,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Medium,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, small size, eastern states"
130226,Quinnipiac University,2013,12,39330,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate with arts & sciences (other dominant fields),"Full-time four-year, selective, lower transfer-in",High undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), private not-for-profit /1 of 7"
130253,Sacred Heart University,2013,14,35050,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate with arts & sciences (education dominant),"Full-time four-year, selective, lower transfer-in",High undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), private not-for-profit /2 of 7"
130314,University of Saint Joseph,2013,10,33417,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate with arts & sciences (education dominant),"Full-time four-year, selective, higher transfer-in",Majority undergraduate,"Small four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), private not-for-profit /6 of 7"
130396,Gateway Community College,2013,17,3786,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, city locale"
130448,St Vincent's College,2013,15,19650,"Under 1,000",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, not primarily baccalaureate or above",Associate's--Private Not-for-profit,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very small two-year,Not a Land Grant Institution,Associates Colleges,"Private not-for-profit, 4-year, Carnegie Classification of Associates"
130493,Southern Connecticut State University,2013,14,9020,"10,000 - 19,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, high graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, selective, higher transfer-in",High undergraduate,"Medium four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /3 of  5"
130590,Trinity College,2013,9,47510,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Arts & sciences focus, some graduate coexistence","Postbaccalaureate, arts & sciences dominant","Full-time four-year, more selective, lower transfer-in",Very high undergraduate,"Small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /2 of 7"
130606,Tunxis Community College,2013,18,3786,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, associate's and certificates",Associate's--Public Suburban-serving Single Campus,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, suburban locale"
130697,Wesleyan University,2013,9,47244,"1,000 - 4,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Arts & sciences focus, some graduate coexistence",STEM dominant,"Full-time four-year, more selective, lower transfer-in",Very high undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /1 of 7"
130776,Western Connecticut State University,2013,15,8893,"5,000 - 9,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (medium programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate with arts & sciences (education dominant),"Full-time four-year, selective, higher transfer-in",Very high undergraduate,"Medium four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (medium programs), public /1 of 2"
130794,Yale University,2013,6,44000,"10,000 - 19,999",Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences focus, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, lower transfer-in",Majority graduate/professional,"Large four-year, highly residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), private not-for-profit"
130891,Delaware Technical Community College-Owens,2013,13,3380,"1,000 - 4,999",Delaware,Mid East DE DC MD NJ NY PA,At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Fringe,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Medium,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, town locale"
130907,Delaware Technical Community College-Terry,2013,13,3380,"1,000 - 4,999",Delaware,Mid East DE DC MD NJ NY PA,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Medium,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, city locale"
130916,Delaware Technical Community College-Stanton/Wilmington,2013,14,3380,"5,000 - 9,999",Delaware,Mid East DE DC MD NJ NY PA,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, eastern states, city locale"
130934,Delaware State University,2013,16,7336,"1,000 - 4,999",Delaware,Mid East DE DC MD NJ NY PA,Four or more years,Public,Degree-granting,Yes,No,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (medium programs),"Professions plus arts & sciences, some graduate coexistence","Doctoral, professional dominant","Full-time four-year, inclusive",Very high undergraduate,"Medium four-year, highly residential",Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (medium programs), public /2 of 2"
130943,University of Delaware,2013,15,12112,"20,000 and above",Delaware,Mid East DE DC MD NJ NY PA,Four or more years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Balanced arts & sciences/professions, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, more selective, lower transfer-in",High undergraduate,"Large four-year, primarily residential",Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /2 of 2"
130989,Goldey-Beacom College,2013,23,22140,"1,000 - 4,999",Delaware,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Schools of business and management,"Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Majority undergraduate,"Not applicable, special focus institution",Not a Land Grant Institution,Schools of business and management,"Schools of business and management, private not-for-profit"
131098,Wesley College,2013,16,23590,"1,000 - 4,999",Delaware,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate with arts & sciences (business dominant),"Full-time four-year, inclusive",Very high undergraduate,"Small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--General,"Baccalaureate Colleges--Diverse Fields, private not-for-profit /3 of 8"
131113,Wilmington University,2013,14,9950,"10,000 - 19,999",Delaware,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Doctoral/Research Universities,"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate professional (education dominant),Higher part-time four-year,Majority undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Doctoral/Research Universities, private not-for-profit and enrollment of a similar size"
131159,American University,2013,12,40649,"10,000 - 19,999",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Doctoral/Research Universities,"Arts & sciences plus professions, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, more selective, lower transfer-in",Majority undergraduate,"Large four-year, highly residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Doctoral/Research Universities, private not-for-profit and enrollment of a similar size"
131283,Catholic University of America,2013,8,38526,"5,000 - 9,999",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Balanced arts & sciences/professions, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, selective, lower transfer-in",Majority undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (high research activity), private not-for-profit"
131308,Corcoran College of Art and Design,2013,9,31130,"Under 1,000",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above","Schools of art, music, and design","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Majority undergraduate,"Not applicable, special focus institution",Not a Land Grant Institution,"Schools of art, music, and design","Schools of art, music, and design, Public or private not-for-profit /2 of 2"
131399,University of the District of Columbia,2013,11,5138,"5,000 - 9,999",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Public,Degree-granting,Yes,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (smaller programs),"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate with arts & sciences (other dominant fields),Higher part-time four-year,Very high undergraduate,"Medium four-year, primarily nonresidential",Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (smaller programs), public"
131450,Gallaudet University,2013,6,13800,"1,000 - 4,999",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (smaller programs),"Balanced arts & sciences/professions, some graduate coexistence","Doctoral, professional dominant","Full-time four-year, inclusive",High undergraduate,"Small four-year, highly residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (smaller programs), private not-for-profit /2 of 2"
131469,George Washington University,2013,13,47343,"20,000 and above",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences plus professions, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, lower transfer-in",Majority undergraduate,"Large four-year, highly residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), private not-for-profit"
131496,Georgetown University,2013,11,44805,"10,000 - 19,999",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences plus professions, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, lower transfer-in",Majority graduate/professional,"Large four-year, highly residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), private not-for-profit"
131520,Howard University,2013,10,22683,"10,000 - 19,999",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,Yes,No,City: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Professions plus arts & sciences, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, selective, lower transfer-in",Majority undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (high research activity), private not-for-profit"
131803,Strayer University-District of Columbia,2013,18,15495,"1,000 - 4,999",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate with arts & sciences (business dominant),Higher part-time four-year,Majority undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities II,"Masters Colleges and Universities (larger programs), private for-profit"
131876,Trinity Washington University,2013,11,21630,"1,000 - 4,999",District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Arts & sciences plus professions, some graduate coexistence",Postbaccalaureate with arts & sciences (education dominant),"Medium full-time four-year, selective, lower transfer-in",High undergraduate,"Small four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), private not-for-profit /6 of 7"
132338,The Art Institute of Fort Lauderdale,2013,19,17704,"1,000 - 4,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, not primarily baccalaureate or above","Schools of art, music, and design","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Exclusively undergraduate four-year,"Not applicable, special focus institution",Not a Land Grant Institution,"Schools of art, music, and design","Schools of art, music, and design, private for-profit /1 of 2"
132408,The Baptist College of Florida,2013,14,9700,"Under 1,000",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,"Degree-granting, primarily baccalaureate or above","Theological seminaries, Bible colleges, and other faith-related institutions","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Exclusively undergraduate four-year,"Not applicable, special focus institution",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Theological seminaries/Bible colleges/other faith-related institutions, highest level - postbaccalaureate, undergraduate degrees/certificates offered"
132471,Barry University,2013,13,28160,"5,000 - 9,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Doctoral/Research Universities,"Professions plus arts & sciences, some graduate coexistence","Doctoral, professional dominant","Full-time four-year, inclusive",Majority undergraduate,"Medium four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Doctoral/Research Universities, private not-for-profit and enrollment of a similar size"
132602,Bethune-Cookman University,2013,18,14410,"1,000 - 4,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,Yes,No,City: Small,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions plus arts & sciences, no graduate coexistence",Single postbaccalaureate (business),"Full-time four-year, inclusive",Very high undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--General,"Baccalaureate Colleges--Diverse Fields, private not-for-profit /1 of 8"
